VaccinationDate,age_group,first_dose,second_dose,third_dose
2020-12-20,20-29,392,0,0
2020-12-20,0-19,21,0,0
2020-12-20,80-89,94,0,0
2020-12-20,60-69,1517,0,0
2020-12-20,50-59,1788,0,0
2020-12-20,40-49,1868,0,0
2020-12-20,90+,<15,0,0
2020-12-20,70-79,495,0,0
2020-12-20,30-39,1198,0,0
2020-12-21,20-29,1067,0,0
2020-12-21,0-19,67,0,0
2020-12-21,80-89,1165,0,0
2020-12-21,40-49,3788,0,0
2020-12-21,60-69,7283,0,0
2020-12-21,90+,167,0,0
2020-12-21,30-39,2785,0,0
2020-12-21,70-79,4889,0,0
2020-12-21,50-59,3692,0,0
2020-12-22,90+,456,0,0
2020-12-22,20-29,1575,0,0
2020-12-22,50-59,4663,0,0
2020-12-22,80-89,3498,0,0
2020-12-22,0-19,99,0,0
2020-12-22,70-79,11763,0,0
2020-12-22,60-69,14433,0,0
2020-12-22,40-49,4536,0,0
2020-12-22,30-39,3603,0,0
2020-12-23,20-29,2124,0,0
2020-12-23,80-89,5680,0,0
2020-12-23,0-19,159,0,0
2020-12-23,50-59,5340,0,0
2020-12-23,70-79,18012,0,0
2020-12-23,90+,1026,0,0
2020-12-23,30-39,3864,0,0
2020-12-23,40-49,5041,0,0
2020-12-23,60-69,21617,0,0
2020-12-24,80-89,7678,0,0
2020-12-24,60-69,25645,0,0
2020-12-24,70-79,21762,0,0
2020-12-24,30-39,3794,0,0
2020-12-24,40-49,5212,0,0
2020-12-24,90+,1349,0,0
2020-12-24,0-19,202,0,0
2020-12-24,20-29,2072,0,0
2020-12-24,50-59,5666,0,0
2020-12-25,80-89,4531,0,0
2020-12-25,90+,764,0,0
2020-12-25,70-79,12284,0,0
2020-12-25,30-39,1390,0,0
2020-12-25,40-49,2248,0,0
2020-12-25,60-69,13405,0,0
2020-12-25,0-19,126,0,0
2020-12-25,20-29,756,0,0
2020-12-25,50-59,2969,0,0
2020-12-26,40-49,1687,0,0
2020-12-26,50-59,2407,0,0
2020-12-26,60-69,11902,0,0
2020-12-26,20-29,485,0,0
2020-12-26,30-39,981,0,0
2020-12-26,70-79,10605,0,0
2020-12-26,90+,690,0,0
2020-12-26,0-19,92,0,0
2020-12-26,80-89,3750,0,0
2020-12-27,50-59,10055,0,0
2020-12-27,20-29,3584,0,0
2020-12-27,80-89,11874,0,0
2020-12-27,0-19,490,0,0
2020-12-27,40-49,8474,0,0
2020-12-27,60-69,32947,0,0
2020-12-27,90+,2388,0,0
2020-12-27,30-39,6070,0,0
2020-12-27,70-79,28546,0,0
2020-12-28,20-29,6674,0,0
2020-12-28,0-19,1264,0,0
2020-12-28,40-49,13429,0,0
2020-12-28,60-69,40013,0,0
2020-12-28,70-79,32875,0,0
2020-12-28,30-39,9558,0,0
2020-12-28,50-59,14796,0,0
2020-12-28,90+,2611,0,0
2020-12-28,80-89,13675,0,0
2020-12-29,0-19,1443,0,0
2020-12-29,80-89,16458,0,0
2020-12-29,60-69,43984,0,0
2020-12-29,70-79,35906,0,0
2020-12-29,90+,4363,0,0
2020-12-29,20-29,7559,0,0
2020-12-29,30-39,11561,0,0
2020-12-29,50-59,18574,0,0
2020-12-29,40-49,16275,0,0
2020-12-30,80-89,15460,0,0
2020-12-30,0-19,1450,0,0
2020-12-30,90+,3896,0,0
2020-12-30,70-79,32963,0,0
